House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
23,Turkey Gardens,Ben,Young,7,Son,NA,Male,Student,None,NA
24,Turkey Gardens,Kelly,Parkin,51,Head,Widowed,Female,Graphic designer,None,Christian
24,Turkey Gardens,Robin,Parkin,19,Son,Divorced,Male,Logistics and distribution manager,None,Christian
25,Turkey Gardens,Maria,Wade,56,Head,Married,Female,Catering manager,None,Methodist
25,Turkey Gardens,Craig,Wade,56,Husband,Married,Male,Logistics and distribution manager,None,None
25,Turkey Gardens,Adam,Wade,18,Son,Divorced,Male,Student,None,Methodist
25,Turkey Gardens,Suzanne,Wade,14,Daughter,NA,Female,Student,None,NA
26,Turkey Gardens,Judith,Smith,57,Head,Married,Female,"Engineer, technical sales",None,None
26,Turkey Gardens,Charlie,Smith,56,Husband,Married,Male,Civil Service fast streamer,None,None
27,Turkey Gardens,Josephine,Jones,29,Head,Divorced,Female,IT trainer,None,Jewish
27,Turkey Gardens,Justin,Jones,2,Son,NA,Male,Child,None,NA
28,Turkey Gardens,Kimberley,Brown,47,Head,Single,Female,"Scientist, research (medical)",None,None
29,Turkey Gardens,Victor,Murray,18,Head,Single,Male,University Student,None,Muslim
29,Turkey Gardens,Georgia,Powell,22,None,Single,Female,University Student,None,Christian
29,Turkey Gardens,Louise,Wright,21,None,Single,Female,University Student,None,None
29,Turkey Gardens,Nathan,Mason,18,None,Single,Male,University Student,None,Methodist
30,Turkey Gardens,Jacqueline,Wright,64,Head,Divorced,Female,"Journalist, broadcasting",None,Christian
30,Turkey Gardens,Callum,Flynn,15,Grandson,NA,Male,Student,None,NA
31,Turkey Gardens,Patrick,Chamberlain,19,Head,Married,Male,University Student,None,Catholic
31,Turkey Gardens,Sian,Chamberlain,19,Wife,Married,Female,University Student,None,None
32,Turkey Gardens,Jodie,Lees-Ross,51,Head,Single,Female,Printmaker,None,None
32,Turkey Gardens,Emily,Lees-Ross,3,Daughter,NA,Female,Child,None,NA
33,Turkey Gardens,Jayne,Williams-Davies,25,Head,Divorced,Female,Unemployed,None,None
33,Turkey Gardens,Amelia,Williams-Davies,2,Daughter,NA,Female,Child,None,NA
34,Turkey Gardens,Lee,West,79,Head,Widowed,Male,Retired Herbalist,None,None
35,Turkey Gardens,Derek,Doyle,29,Head,Married,Male,Bonds trader,None,Christian
35,Turkey Gardens,Jean,Doyle,32,Wife,Married,Female,Warden/ranger,None,None
35,Turkey Gardens,Sylvia,Tucker,54,None,Married,Female,Museum/gallery curator,None,None
35,Turkey Gardens,Vincent,Tucker,60,None,Married,Male,Sports administrator,None,None
36,Turkey Gardens,Jayne,Pope,57,Head,Divorced,Female,Building surveyor,None,Catholic
36,Turkey Gardens,Stanley,Pope,19,Son,Single,Male,University Student,None,Catholic
36,Turkey Gardens,Frank,Pope,15,Son,NA,Male,Student,None,NA
37,Turkey Gardens,Richard,Farmer,56,Head,Married,Male,Lobbyist,None,Methodist
37,Turkey Gardens,Carol,Farmer,59,Wife,Married,Female,Best boy,None,None
37,Turkey Gardens,Geraldine,Farmer,34,Daughter,Divorced,Female,Historic buildings inspector/conservation officer,None,None
37,Turkey Gardens,Douglas,Farmer,32,Son,Single,Male,Charity fundraiser,None,None
37,Turkey Gardens,Jasmine,Farmer,12,Daughter,NA,Female,Student,None,NA
38,Turkey Gardens,Diana,Cole,54,Head,Married,Female,Museum/gallery curator,None,None
38,Turkey Gardens,Samuel,Cole,58,Husband,Married,Male,Air broker,None,None
39,Turkey Gardens,Susan,Read,41,Head,Single,Female,Primary school teacher,None,None
39,Turkey Gardens,Francis,Read,3,Son,NA,Male,Child,None,NA
40,Turkey Gardens,Kimberley,Johnson,48,Head,Single,Female,Office manager,None,None
40,Turkey Gardens,Daniel,Bates,52,Partner,Single,Male,Unemployed,None,None
40,Turkey Gardens,Molly,Johnson,27,Daughter,Single,Female,Freight forwarder,None,None
40,Turkey Gardens,Louis,Johnson,4,Son,NA,Male,Child,None,NA
41,Turkey Gardens,Aimee,Riley,20,Head,Single,Female,University Student,None,Christian
41,Turkey Gardens,Mohammed,Wilkinson,20,None,Single,Male,University Student,None,None
41,Turkey Gardens,Lindsey,Hammond,22,None,Single,Female,University Student,None,Christian
41,Turkey Gardens,Dorothy,Adams,19,None,Single,Female,University Student,None,Catholic
42,Turkey Gardens,Sam,Green,25,Head,Married,Male,Unemployed,None,None
42,Turkey Gardens,Wendy,Green,23,Wife,Married,Female,Mental health nurse,None,None
43,Turkey Gardens,Gail,Humphries,68,Head,Single,Female,Retired Location manager,None,Christian
43,Turkey Gardens,Lydia,Humphries,37,Daughter,Single,Female,"Editor, film/video",None,Christian
43,Turkey Gardens,Claire,Humphries,33,Daughter,Single,Female,Recruitment consultant,None,Christian
44,Turkey Gardens,Marie,Gardiner,52,Head,Married,Female,Multimedia programmer,None,Christian
44,Turkey Gardens,Ryan,Gardiner,53,Husband,Married,Male,Building surveyor,None,Christian
44,Turkey Gardens,Hilary,Gardiner,14,Daughter,NA,Female,Student,None,NA
45,Turkey Gardens,Jane,Jones,42,Head,Married,Female,Technical sales engineer,None,Catholic
45,Turkey Gardens,Adam,Jones,43,Husband,Married,Male,"Development worker, community",None,Catholic
45,Turkey Gardens,Mary,Jones,10,Daughter,NA,Female,Student,None,NA
46,Turkey Gardens,Harry,Price,38,Head,Divorced,Male,Horticultural consultant,None,Catholic
47,Turkey Gardens,Mitchell,Wilson,31,Head,Married,Male,"Production assistant, television",None,None
47,Turkey Gardens,Brenda,Wilson,28,Wife,Married,Female,"Administrator, Civil Service",None,None
48,Turkey Gardens,Zoe,Craig,33,Head,Single,Female,"Scientist, research (maths)",None,Christian
48,Turkey Gardens,Debra,O'Connor,35,Partner,Single,Female,General practice doctor,None,Christian
48,Turkey Gardens,Colin,Craig,12,Son,NA,Male,Student,None,NA
48,Turkey Gardens,Joanna,Craig,10,Daughter,NA,Female,Student,None,NA
49,Turkey Gardens,Gemma,Shaw,51,Head,Widowed,Female,Unemployed,None,Methodist
49,Turkey Gardens,Steven,Shaw,13,Son,NA,Male,Student,None,NA
49,Turkey Gardens,Elaine,Shaw,10,Daughter,NA,Female,Student,None,NA
49,Turkey Gardens,Charles,Shaw,9,Son,NA,Male,Student,None,NA
49,Turkey Gardens,Lucy,Shaw,8,Daughter,NA,Female,Student,None,NA
50,Turkey Gardens,Holly,Clarke,60,Head,Single,Female,Forensic psychologist,None,Christian
51,Turkey Gardens,Kathleen,Holden,59,Head,Married,Female,Transport planner,None,Catholic
51,Turkey Gardens,Iain,Holden,63,Husband,Married,Male,"Education officer, community",None,None
51,Turkey Gardens,Frances,Holden,26,Daughter,Single,Female,Mudlogger,None,Catholic
52,Turkey Gardens,Brian,Dobson,41,Head,Married,Male,"Journalist, broadcasting",None,Catholic
52,Turkey Gardens,Elaine,Dobson,37,Wife,Married,Female,Management consultant,None,None
53,Turkey Gardens,Barbara,Shaw,77,Head,Married,Female,Retired Ergonomist,None,None
53,Turkey Gardens,Elliott,Shaw,79,Husband,Married,Male,Retired Museum/gallery curator,None,None
54,Turkey Gardens,Deborah,Day,46,Head,Single,Female,Arts administrator,None,Catholic
54,Turkey Gardens,Lee,Ross,47,Partner,Single,Male,Tourist information centre manager,None,None
54,Turkey Gardens,Dylan,Day,13,Son,NA,Male,Student,None,NA
54,Turkey Gardens,Helen,Day,11,Daughter,NA,Female,Student,None,NA
55,Turkey Gardens,Pamela,Walker,29,Head,Divorced,Female,Unemployed,None,Methodist
55,Turkey Gardens,Mohamed,Walker,1,Son,NA,Male,Child,None,NA
56,Turkey Gardens,Rita,Booth,33,Head,Divorced,Female,Community education officer,None,Christian
56,Turkey Gardens,Brenda,Booth,5,Daughter,NA,Female,Student,None,NA
57,Turkey Gardens,Sylvia,Harrison,75,Head,Widowed,Female,Retired Sports coach,None,None
57,Turkey Gardens,Danielle,Harrison,45,Daughter,Single,Female,Energy manager,None,None
58,Turkey Gardens,Angela,Clarke,58,Head,Married,Female,"Merchandiser, retail",None,None
58,Turkey Gardens,Alex,Clarke,60,Husband,Married,Male,Licensed conveyancer,None,None
59,Turkey Gardens,Naomi,Fowler,47,Head,Married,Female,Government social research officer,None,Christian
59,Turkey Gardens,Kevin,Fowler,48,Husband,Married,Male,Geoscientist,None,Christian
59,Turkey Gardens,Alex,Fowler,15,Son,NA,Male,Student,None,NA
59,Turkey Gardens,Abigail,Fowler,10,Daughter,NA,Female,Student,None,NA
1,Howarth Drive,Sally,Power,59,Head,Single,Female,"Designer, textile",None,Catholic
2,Howarth Drive,Gavin,Williams,42,Head,Single,Male,Public affairs consultant,None,Christian
2,Howarth Drive,Amanda,Williams,16,Daughter,NA,Female,Student,None,NA
2,Howarth Drive,Mathew,Williams,12,Son,NA,Male,Student,None,NA
3,Howarth Drive,Aimee,Scott,54,Head,Single,Female,Hydrogeologist,None,Christian
3,Howarth Drive,Rosie,Scott,15,Daughter,NA,Female,Student,None,NA
4,Howarth Drive,Hannah,Harvey,35,Head,Divorced,Female,Chartered legal executive (England and Wales),None,None
4,Howarth Drive,Howard,Harvey,8,Son,NA,Male,Student,None,NA
4,Howarth Drive,Frances,Harvey,5,Daughter,NA,Female,Student,None,NA
5,Howarth Drive,Ann,Jones,41,Head,Single,Female,Landscape architect,None,Catholic
5,Howarth Drive,John,West,25,None,Single,Male,Health service manager,None,Christian
5,Howarth Drive,Irene,Grant,25,None,Single,Female,Speech and language therapist,None,None
5,Howarth Drive,Gerard,Blake,60,None,Single,Male,Hospital doctor,None,Christian
5,Howarth Drive,Leon,Evans,53,None,Single,Male,Advertising copywriter,None,Christian
6,Howarth Drive,Kayleigh,Arnold,51,Head,Married,Female,Graphic designer,None,Christian
6,Howarth Drive,Craig,Arnold,56,Husband,Married,Male,Estate agent,None,Christian
6,Howarth Drive,Steven,Arnold,17,Adopted Son,NA,Male,Student,None,NA
7,Howarth Drive,Sally,Lawrence,69,Head,Married,Female,Retired Field seismologist,None,None
7,Howarth Drive,Bernard,Lawrence,74,Husband,Married,Male,Retired IT technical support officer,None,None
7,Howarth Drive,Kyle,Lawrence,44,Son,Single,Male,Ophthalmologist,None,None
7,Howarth Drive,Toby,Lawrence,41,Son,Single,Male,Medical laboratory scientific officer,None,None
7,Howarth Drive,Lesley,Lawrence,37,Daughter,Divorced,Female,Animator,None,None
1,Knight Greens,Geraldine,Henry,66,Head,Married,Female,Architectural technologist,None,Christian
1,Knight Greens,John,Henry,72,Husband,Married,Male,Retired Restaurant manager,None,Christian
2,Knight Greens,Alice,Roberts,32,Head,Single,Female,Homeopath,None,None
2,Knight Greens,Daniel,Clements,32,Partner,Single,Male,Unemployed,None,None
3,Knight Greens,Charlotte,Jones,58,Head,Married,Female,"Surveyor, planning and development",None,None
3,Knight Greens,Graeme,Jones,62,Husband,Married,Male,Naval architect,None,None
3,Knight Greens,Amelia,Jones,30,Daughter,Single,Female,Copy,None,None
3,Knight Greens,Timothy,Jones,26,Son,Single,Male,Geochemist,None,None
3,Knight Greens,Alexandra,Jones,23,Daughter,Single,Female,"Surveyor, building",None,None
4,Knight Greens,Carole,Warner,23,Head,Single,Female,"Scientist, research (physical sciences)",None,Christian
5,Knight Greens,Angela,Hill,49,Head,Single,Female,"Accountant, chartered public finance",None,None
6,Knight Greens,Jason,Moss,59,Head,Single,Male,Lexicographer,None,Christian
6,Knight Greens,Marian,Rogers,58,Partner,Single,Female,Planning and development surveyor,None,Christian
7,Knight Greens,Andrea,Burton,47,Head,Married,Female,Tax adviser,None,Catholic
7,Knight Greens,Terence,Burton,46,Husband,Married,Male,Volunteer coordinator,None,Catholic
7,Knight Greens,Russell,Burton,14,Son,NA,Male,Student,None,NA
1,Ahmed Haven,Annette,Chambers,35,Head,Married,Female,Advertising art director,None,None
1,Ahmed Haven,Gareth,Chambers,38,Husband,Married,Male,Garment/textile technologist,None,None
1,Ahmed Haven,Geraldine,Chambers,5,Daughter,NA,Female,Student,None,NA
2,Ahmed Haven,Ronald,Turner,19,Head,Single,Male,University Student,None,None
2,Ahmed Haven,Jason,Dodd,19,None,Single,Male,University Student,None,NA
2,Ahmed Haven,Rosemary,Sheppard,22,None,Single,Female,University Student,None,None
2,Ahmed Haven,Leigh,Myers,21,None,Single,Male,University Student,None,None
3,Ahmed Haven,Hannah,Hughes,48,Head,Married,Female,Geoscientist,None,None
3,Ahmed Haven,Malcolm,Hughes,47,Husband,Married,Male,Planning and development surveyor,None,None
3,Ahmed Haven,Trevor,Hughes,19,Son,Divorced,Male,University Student,None,None
3,Ahmed Haven,Marion,Hughes,9,Daughter,NA,Female,Student,None,NA
4,Ahmed Haven,Lisa,Morris,26,Head,Married,Female,Training and development officer,None,Muslim
4,Ahmed Haven,Jonathan,Morris,32,Husband,Married,Male,Politician's assistant,None,None
4,Ahmed Haven,Bernard,Morris,7,Son,NA,Male,Student,None,NA
5,Ahmed Haven,Martin,Pritchard,27,Head,Single,Male,Chief of Staff,None,Muslim
5,Ahmed Haven,Jennifer,Harrison,25,Partner,Single,Female,Mental health nurse,None,Muslim
5,Ahmed Haven,Charlie,Pritchard,3,Son,NA,Male,Child,None,NA
5,Ahmed Haven,Chelsea,Pritchard,3,Daughter,NA,Female,Child,None,NA
6,Ahmed Haven,Luke,Williams,72,Head,Divorced,Male,"Retired Teacher, special educational needs",None,None
6,Ahmed Haven,Joe,Williams,22,Grandson,Single,Male,"Education officer, museum",None,None
6,Ahmed Haven,Julia,Brown,21,Granddaughter,Single,Female,University Student,None,None
7,Ahmed Haven,Kelly,Butler,29,Head,Married,Female,Hydrographic surveyor,None,Sikh
7,Ahmed Haven,Lee,Butler,25,Husband,Married,Male,Database administrator,None,Sikh
7,Ahmed Haven,Naomi,Butler,13,Daughter,NA,Female,Student,None,NA
8,Ahmed Haven,Craig,Rees,81,Head,Single,Male,"Retired Surveyor, building control",None,Christian
9,Ahmed Haven,Adrian,Little,44,Head,Married,Male,Psychiatric nurse,None,None
9,Ahmed Haven,Brenda,Little,42,Wife,Married,Female,Further education lecturer,None,None
9,Ahmed Haven,Lewis,Little,2,Son,NA,Male,Child,None,NA
9,Ahmed Haven,Anna,Little,0,Daughter,NA,Female,Child,None,NA
9,Ahmed Haven,Victor,Palmer,43,Lodger,Single,Male,Further education lecturer,None,Christian
1,Summer Crescent,Eleanor,Brown,81,Head,Widowed,Female,Retired Clinical cytogeneticist,None,None
1,Summer Crescent,Elizabeth,Brown,38,Daughter,Divorced,Female,"Scientist, clinical (histocompatibility and immunogenetics)",None,None
1,Summer Crescent,Paige,Brown,28,Daughter,Divorced,Female,"Therapist, drama",None,None
2,Summer Crescent,Karen,Dodd,78,Head,Divorced,Female,Retired Fashion designer,None,None
2,Summer Crescent,Chloe,Dodd,22,Granddaughter,Divorced,Female,University Student,None,None
2,Summer Crescent,Joshua,Turner,19,Grandson,Single,Male,University Student,None,None
2,Summer Crescent,Jasmine,Turner,15,Granddaughter,NA,Female,Student,None,NA
3,Summer Crescent,Hilary,Williamson,38,Head,Widowed,Female,Unemployed,None,Catholic
3,Summer Crescent,Martyn,Williamson,5,Son,NA,Male,Student,None,NA
4,Summer Crescent,Yvonne,Sutton,25,Head,Divorced,Female,Unemployed,None,Christian
4,Summer Crescent,Patrick,Sutton,5,Son,NA,Male,Student,None,NA
4,Summer Crescent,Elaine,Brown,32,Sibling,Single,Female,"Nurse, learning disability",None,None
5,Summer Crescent,Mitchell,Norman,74,Head,Married,Male,Retired Social researcher,None,None
5,Summer Crescent,Sara,Norman,70,Wife,Married,Female,Retired Hospital doctor,None,None
6,Summer Crescent,Catherine,Watts,53,Head,Single,Female,Food technologist,None,Methodist
6,Summer Crescent,Joel,Watts,7,Son,NA,Male,Student,None,NA
6,Summer Crescent,Dominic,Thomas,7,Son,NA,Male,Student,None,NA
6,Summer Crescent,Kenneth,Thompson,4,Son,NA,Male,Child,None,NA
6,Summer Crescent,Roy,Thompson,3,Son,NA,Male,Child,None,NA
7,Summer Crescent,Charlotte,Stevenson,32,Head,Divorced,Female,Unemployed,None,None
7,Summer Crescent,Graham,Stevenson,9,Son,NA,Male,Student,None,NA
7,Summer Crescent,Adrian,Stevenson,5,Son,NA,Male,Student,None,NA
8,Summer Crescent,Brenda,Ellis,42,Head,Married,Female,Teaching laboratory technician,None,Methodist
8,Summer Crescent,Owen,Ellis,45,Husband,Married,Male,Unemployed,None,Methodist
8,Summer Crescent,Irene,Ellis,5,Daughter,NA,Female,Student,None,NA
8,Summer Crescent,Josh,Nixon,5,Son,NA,Male,Student,None,NA
9,Summer Crescent,Marie,Perkins,48,Head,Widowed,Female,Learning disability nurse,None,Catholic
9,Summer Crescent,Francesca,Perkins,15,Daughter,NA,Female,Student,None,NA
9,Summer Crescent,Heather,Perkins,9,Daughter,NA,Female,Student,None,NA
9,Summer Crescent,Iain,Perkins,8,Son,NA,Male,Student,None,NA
10,Summer Crescent,Alice,Vincent,33,Head,Married,Female,Historic buildings inspector/conservation officer,None,None
10,Summer Crescent,Jack,Vincent,32,Husband,Married,Male,Water quality scientist,None,None
10,Summer Crescent,George,Vincent,8,Son,NA,Male,Student,None,NA
10,Summer Crescent,Barry,Vincent,6,Son,NA,Male,Student,None,NA
10,Summer Crescent,Chelsea,Vincent,3,Daughter,NA,Female,Child,None,NA
11,Summer Crescent,Fiona,Tucker,41,Head,Married,Female,"Conservator, museum/gallery",None,Christian
11,Summer Crescent,Allan,Tucker,45,Husband,Married,Male,Research scientist (maths),None,Christian
11,Summer Crescent,Neil,Tucker,15,Son,NA,Male,Student,None,NA
12,Summer Crescent,Mandy,Moore-Phillips,37,Head,Divorced,Female,Musician,None,None
12,Summer Crescent,Katherine,Moore-Phillips,6,Daughter,NA,Female,Student,None,NA
12,Summer Crescent,Diana,Moore-Phillips,2,Daughter,NA,Female,Child,None,NA
13,Summer Crescent,Gail,Atkinson,36,Head,Married,Female,"Designer, ceramics/pottery",None,None
13,Summer Crescent,Christian,Atkinson,32,Husband,Married,Male,Paediatric nurse,None,None
13,Summer Crescent,Frederick,Atkinson,2,Son,NA,Male,Child,None,NA
14,Summer Crescent,Karen,Morris,39,Head,Married,Female,Air broker,None,Christian
14,Summer Crescent,Glen,Morris,39,Husband,Married,Male,"Surveyor, commercial/residential",None,Christian
14,Summer Crescent,Tom,Morris,11,Son,NA,Male,Student,None,NA
15,Summer Crescent,Paige,Smith,40,Head,Single,Female,Unemployed,None,Catholic
15,Summer Crescent,Callum,Nicholson,42,Partner,Single,Male,Television production assistant,None,Catholic
15,Summer Crescent,Elliot,Smith,3,Son,NA,Male,Child,None,NA
15,Summer Crescent,Katherine,Smith,1,Daughter,NA,Female,Child,None,NA
15,Summer Crescent,Mark,Thomas,60,Lodger,Single,Male,"Production assistant, radio",None,Catholic
16,Summer Crescent,Ann,Jones,51,Head,Married,Female,Geophysicist/field seismologist,None,Christian
16,Summer Crescent,Louis,Jones,53,Husband,Married,Male,Equality and diversity officer,None,None
16,Summer Crescent,Kenneth,Jones,16,Son,NA,Male,Student,None,NA
17,Summer Crescent,Katie,Archer,36,Head,Divorced,Female,"Production designer, theatre/television/film",None,Methodist
17,Summer Crescent,Bryan,Archer,15,Son,NA,Male,Student,None,NA
17,Summer Crescent,Allan,Archer,12,Son,NA,Male,Student,None,NA
18,Summer Crescent,Naomi,Hall,78,Head,Widowed,Female,Unemployed,None,Christian
18,Summer Crescent,Gemma,Cooke,38,Daughter,Single,Female,Site engineer,None,None
18,Summer Crescent,Patrick,Cooke,36,Son,Divorced,Male,Early years teacher,None,Christian
19,Summer Crescent,Kathleen,Humphreys,81,Head,Widowed,Female,Unemployed,None,Methodist
19,Summer Crescent,Raymond,Humphreys,42,Son,Single,Male,Public house manager,None,Methodist
19,Summer Crescent,Katie,Humphreys,38,Daughter,Divorced,Female,Records manager,None,Methodist
19,Summer Crescent,Holly,Humphreys,38,Daughter,Single,Female,Restaurant manager,None,Methodist
20,Summer Crescent,Keith,Kaur,26,Head,Married,Male,Graphic designer,None,Methodist
20,Summer Crescent,Carolyn,Kaur,20,Wife,Married,Female,University Student,None,Methodist
20,Summer Crescent,Conor,Banks,27,Lodger,Single,Male,"Therapist, nutritional",None,Christian
21,Summer Crescent,Gareth,Freeman,49,Head,Married,Male,"Designer, interior/spatial",None,Christian
21,Summer Crescent,Sian,Freeman,46,Wife,Married,Female,"Accountant, chartered certified",None,Christian
21,Summer Crescent,Janet,Freeman,27,Daughter,Divorced,Female,Charity officer,None,Christian
22,Summer Crescent,Beth,Thomas,27,Head,Single,Female,Armed forces technical officer,None,None
22,Summer Crescent,Mark,Smith,29,Partner,Single,Male,Estate manager/land agent,None,None
22,Summer Crescent,Leigh,Thomas,3,Son,NA,Male,Child,None,NA
23,Summer Crescent,Amber,Bennett,35,Head,Single,Female,Unemployed,None,Christian
23,Summer Crescent,Mandy,Walsh,62,Visitor,Single,Female,"Clinical scientist, histocompatibility and immunogenetics",None,Christian
23,Summer Crescent,Jacob,Baker,39,Lodger,Divorced,Male,Photographer,None,None
24,Summer Crescent,Carol,O'Neill,49,Head,Married,Female,"Engineer, civil (consulting)",None,None
24,Summer Crescent,Frank,O'Neill,52,Husband,Married,Male,"Surveyor, hydrographic",None,None
24,Summer Crescent,Lynda,O'Neill,30,Daughter,Divorced,Female,Senior tax professional/tax inspector,None,None
25,Summer Crescent,Georgia,Crawford,47,Head,Single,Female,Clinical molecular geneticist,None,None
25,Summer Crescent,Henry,Crawford,17,Son,NA,Male,Student,None,NA
26,Summer Crescent,Judith,Hunt,50,Head,Married,Female,Mining engineer,None,None
26,Summer Crescent,Hugh,Hunt,52,Husband,Married,Male,Sales executive,None,None
26,Summer Crescent,Lucy,Hunt,19,Daughter,Single,Female,"Development worker, international aid",None,None
26,Summer Crescent,Roger,Hunt,15,Son,NA,Male,Student,None,NA
